#{"t_start": 1748360455.3771858, "env_id": "None"}
r,l,t
147.380217,48,87.991691
145.130412,50,88.06847
146.629827,51,88.150254
145.130022,53,88.25506
146.630608,48,88.32643
146.630217,50,88.399761
147.380022,49,88.467976
146.629827,50,88.551601
145.031825,50,88.628594
146.528195,47,88.70133
147.380217,48,88.792274
147.380217,48,88.861338
145.880217,49,88.932186
146.629827,50,89.005682
147.380217,48,89.087953
147.380217,48,89.169738
146.630412,48,89.256341
146.630022,49,89.360229
147.380022,49,89.435209
146.630217,49,89.517366
145.880022,52,89.598048
147.380412,48,89.67349
147.380217,48,89.747417
145.130412,50,89.82063
146.630022,49,89.902397
147.380217,48,89.979702
145.782044,50,90.059268
147.380217,48,90.133761
145.879827,53,90.209528
146.630412,48,90.279403
146.630217,49,90.349817
147.380412,48,90.416897
146.630412,48,90.51192
147.380022,49,91.795741
147.380217,48,93.315308
146.630412,48,93.383415
145.880803,48,93.453474
146.630412,48,93.519424
145.130998,48,93.598999
146.630217,49,93.677412
145.880412,49,93.765887
147.380412,48,93.846552
145.880217,49,93.927373
147.380217,48,94.024385
147.380803,48,94.098292
146.630608,48,94.175667
147.380412,48,94.245452
147.380217,48,94.325242
147.380217,48,94.411343
146.630412,48,94.478702
147.380217,48,94.555927
146.529818,49,94.628614
147.379827,50,94.704632
145.130412,49,94.796374
145.130217,51,94.873268
145.130803,48,94.948397
146.630022,49,95.027515
146.630412,48,95.106249
146.532599,50,95.190239
145.777997,48,95.264625
146.528391,47,95.33063
145.880803,48,95.409802
145.880608,48,95.480597
146.630608,48,95.551304
145.880217,49,95.637492
147.380412,48,95.715787
147.380217,48,95.782107
147.380412,48,95.852483
147.380022,49,95.923546
145.030161,48,95.998737
146.630412,48,96.066749
147.380412,48,96.135169
145.880217,49,96.213397
146.630412,48,96.289284
146.630217,49,96.359372
147.380217,48,96.433057
146.630608,48,98.717997
145.880608,48,98.799164
145.130412,49,98.879807
146.630412,48,98.952019
146.53202,48,99.02266
146.630412,48,99.111931
145.130412,52,99.188376
146.630608,48,99.25822
146.630412,48,99.335212
146.630022,50,99.403581
145.880608,48,99.472272
145.880803,48,99.539664
146.630412,48,99.617358
145.880608,48,99.685076
147.380217,48,99.757366
147.380022,49,99.825406
-65.456332,43,99.892613
-64.706332,43,99.952138
145.880608,48,100.040065
145.880608,48,100.107669
146.630608,48,100.182271
146.630608,48,100.256558
147.380217,48,100.327676
146.533704,48,100.401396
146.630608,48,100.471188
145.880412,49,100.541929
146.630608,48,100.611362
147.380217,48,100.685252
146.630217,49,100.755803
145.029771,50,100.831357
145.031135,49,100.920233
146.630412,48,100.985397
145.880608,48,101.065515
146.630608,48,101.144637
145.780211,48,101.222622
145.130217,51,101.278395
146.630608,48,101.35253
-65.554349,43,101.410378
147.380022,49,101.511325
146.630412,49,101.59255
147.380022,49,101.66874
-82.753593,21,101.6991
146.630412,48,101.778316
147.380217,48,103.941373
146.630412,48,104.042678
147.380217,49,104.111855
146.630412,48,104.186267
147.380217,48,104.265321
147.380217,48,104.338232
146.630412,48,104.404732
146.630608,48,104.47579
146.630608,48,104.547941
147.380217,48,104.61992
147.380217,48,104.694381
145.880608,48,104.769103
145.880412,49,104.84125
146.630412,48,104.90849
145.880608,48,104.982946
147.380217,48,105.065998
146.630412,48,105.139905
146.630608,48,105.223556
145.880608,48,105.301037
